,Date,Symbols,Close,High,Low,Open,Volume
0,2020-12-03,AMZN,3186.73,3228.64,3181.31,3205.46,2892039
1,2020-12-03,GOOGL,1821.84,1843.83,1817.0,1820.54,1236366
2,2020-12-03,FB,281.85,286.65,281.07,286.25,12921694
3,2020-12-03,PFE,39.659,40.588,39.095,40.539,69316005
4,2020-12-03,BNTX,118.68,121.8,115.0,119.85,4264644
5,2020-12-03,MRNA,157.26,159.11,143.0101,143.5,38656507
6,2020-12-02,AMZN,3203.53,3232.0,3173.2601,3221.65,3129304
7,2020-12-02,GOOGL,1824.97,1832.74,1785.1695,1795.36,1471235
8,2020-12-02,FB,287.52,291.78,280.825,285.36,17361624
9,2020-12-02,PFE,40.361,40.964,39.866,40.034,85265067
10,2020-12-02,BNTX,121.09,123.59,116.43,120.85,7164716
11,2020-12-02,MRNA,143.0,149.7999,128.1,138.63,51217334
12,2020-12-01,AMZN,3220.08,3248.95,3157.18,3188.5,4544382
13,2020-12-01,GOOGL,1795.36,1821.7199,1763.03,1766.655,1868134
14,2020-12-01,FB,286.55,289.3,278.96,279.16,20777906
15,2020-12-01,PFE,38.986,40.064,38.59,38.976,73451269
16,2020-12-01,BNTX,114.01,128.1299,108.0,124.5,9634549
17,2020-12-01,MRNA,141.01,178.5,130.33,177.66,125552341
18,2020-11-30,AMZN,3168.04,3228.39,3125.55,3208.48,4063916
19,2020-11-30,GOOGL,1754.4,1780.335,1747.84,1775.65,1620887
20,2020-11-30,FB,276.97,277.7,271.01,276.03,16693336
21,2020-11-30,PFE,37.898,38.382,37.195,37.542,66137623
22,2020-11-30,BNTX,124.24,124.91,113.5,113.64,9934807
23,2020-11-30,MRNA,152.74,153.8699,141.05,144.0,73203064
24,2020-11-27,AMZN,3195.34,3216.19,3190.05,3211.26,2392867
25,2020-11-27,GOOGL,1787.02,1797.01,1764.54,1764.54,739507
26,2020-11-27,FB,277.81,279.13,274.82,277.39,7808426
27,2020-11-27,PFE,36.829,36.859,36.355,36.384,25551936
28,2020-11-27,BNTX,109.99,111.2,106.1,106.44,3874562
29,2020-11-27,MRNA,127.03,130.06,114.86,115.12,43438495
30,2020-11-25,AMZN,3185.07,3198.0,3140.26,3141.87,3790403
31,2020-11-25,GOOGL,1764.13,1770.38,1748.36,1767.81,979957
32,2020-11-25,FB,275.59,280.18,272.65,278.14,12467009
33,2020-11-25,PFE,36.137,36.167,35.85,36.137,27249038
34,2020-11-25,BNTX,104.96,106.06,99.1,100.0,3007405
35,2020-11-25,MRNA,109.18,109.29,98.65,99.03,25850691
36,2020-11-24,AMZN,3118.06,3134.25,3086.258,3100.5,3602102
37,2020-11-24,GOOGL,1763.9,1766.475,1720.73,1727.5,1400306
38,2020-11-24,FB,276.92,277.8199,267.87,268.49,16930424
39,2020-11-24,PFE,36.205999999999996,36.345,35.632,35.741,42947446
40,2020-11-24,BNTX,101.87,103.43,97.5601,100.92,3864020
41,2020-11-24,MRNA,98.56,99.89,93.54,98.4,12515336
42,2020-11-23,AMZN,3098.39,3139.745,3065.46,3116.6986,4708887
43,2020-11-23,GOOGL,1727.56,1745.99,1710.18,1740.22,1127618
44,2020-11-23,FB,268.43,270.9471,264.53,270.89,20990786
45,2020-11-23,PFE,36.126999999999995,36.691,35.82,36.631,44148223
46,2020-11-23,BNTX,106.5,109.98,104.2,109.73,5194195
47,2020-11-23,MRNA,101.03,101.77,98.62,100.77,16359624
48,2020-11-20,AMZN,3099.4,3132.89,3098.0456,3117.02,3380138
49,2020-11-20,GOOGL,1736.38,1768.3625,1735.0,1762.0,1385322
50,2020-11-20,FB,269.7,273.0,269.41,272.56,18122412
51,2020-11-20,PFE,36.305,36.908,36.048,36.305,61293462
52,2020-11-20,BNTX,104.07,105.33,99.05,100.0,6776843
53,2020-11-20,MRNA,97.61,98.43,94.82,95.0,15306303
54,2020-11-19,AMZN,3117.02,3125.0,3080.92,3105.31,3010270
55,2020-11-19,GOOGL,1758.57,1763.49,1730.02,1733.23,1005340
56,2020-11-19,FB,272.94,273.47,269.19,271.025,12963658
57,2020-11-19,PFE,35.801,36.236,35.474000000000004,36.205999999999996,43732460
58,2020-11-19,BNTX,94.93,95.09,91.29,91.6,3400119
59,2020-11-19,MRNA,92.77,94.65,89.5114,90.0,16002015
60,2020-11-18,AMZN,3105.46,3140.0,3105.1,3134.0,2916836
61,2020-11-18,GOOGL,1740.64,1765.0,1738.5658,1756.64,1005377
62,2020-11-18,FB,271.97,277.3889,271.84,274.52,12152945
63,2020-11-18,PFE,35.929,37.016999999999996,35.909,36.533,64132851
64,2020-11-18,BNTX,90.44,92.46,88.26,90.8,5772603
65,2020-11-18,MRNA,88.89,94.0,88.6103,93.87,21823450
66,2020-11-17,AMZN,3135.66,3189.25,3135.26,3183.5445,3444735
67,2020-11-17,GOOGL,1761.66,1777.14,1759.49,1767.86,1066034
68,2020-11-17,FB,275.0,277.68,273.29,277.68,15040297
69,2020-11-17,PFE,35.652,36.107,35.435,36.096,47495628
70,2020-11-17,BNTX,86.93,92.0,86.65,89.0,4057352
71,2020-11-17,MRNA,93.15,97.8,91.6,97.23,26171963
72,2020-11-16,AMZN,3131.06,3142.7,3072.685,3093.2,3808676
73,2020-11-16,GOOGL,1774.03,1794.34,1761.33,1764.14,1273393
74,2020-11-16,FB,278.96,279.41,274.63,275.05,12970352
75,2020-11-16,PFE,36.928000000000004,37.542,36.453,37.453,72440028
76,2020-11-16,BNTX,91.52,97.0,87.07,96.64,11171585
77,2020-11-16,MRNA,97.95,103.2,93.3,100.31,70853055
78,2020-11-13,AMZN,3128.81,3141.7227,3085.39,3122.0,3762587
79,2020-11-13,GOOGL,1772.26,1777.13,1735.98,1748.0,1487877
80,2020-11-13,FB,276.95,277.76,273.1,277.72,10400101
81,2020-11-13,PFE,38.204,38.239000000000004,37.299,37.461999999999996,38671089
82,2020-11-13,BNTX,106.0,108.2,103.37,104.12,3009657
83,2020-11-13,MRNA,89.39,90.53,85.22,86.62,14176721
84,2020-11-12,AMZN,3110.28,3175.88,3086.05,3159.95,4371208
85,2020-11-12,GOOGL,1742.82,1764.98,1737.97,1742.0,1324363
86,2020-11-12,FB,275.08,279.75,274.43,277.18,12914206
87,2020-11-12,PFE,37.146,37.927,36.839,37.868,44905274
88,2020-11-12,BNTX,101.63,107.1287,100.5,106.81,3604300
89,2020-11-12,MRNA,87.81,87.93,83.83,85.18,21750394
90,2020-11-11,AMZN,3137.39,3139.145,3050.0,3061.78,4366923
91,2020-11-11,GOOGL,1747.23,1762.9,1743.06,1748.4,1591906
92,2020-11-11,FB,276.48,278.4,272.48,273.47,14956950
93,2020-11-11,PFE,38.086,39.766999999999996,37.492,38.461999999999996,56567956
94,2020-11-11,BNTX,109.45,112.5,108.6127,112.0,3274124
95,2020-11-11,MRNA,82.44,83.98,76.13,77.05,18576496
96,2020-11-10,AMZN,3035.02,3114.0,3019.4828,3095.02,6590956
97,2020-11-10,GOOGL,1737.72,1759.38,1716.12,1729.77,2151058
98,2020-11-10,FB,272.43,274.0,264.0,273.1,29067691
99,2020-11-10,PFE,38.264,40.104,38.046,40.015,76814987
100,2020-11-10,BNTX,112.76,113.4,106.2,110.0,8029139
101,2020-11-10,MRNA,76.05,80.38,73.52,80.0,10499395
102,2020-11-09,AMZN,3143.74,3289.0,3112.1057,3231.03,7190406
103,2020-11-09,GOOGL,1761.42,1816.89,1757.545,1795.98,2672024
104,2020-11-09,FB,278.77,292.58,278.53,289.87,25117650
105,2020-11-09,PFE,38.778,41.538000000000004,37.967,41.41,220737838
106,2020-11-09,BNTX,104.8,115.0,98.51,114.02,14614871
107,2020-11-09,MRNA,77.74,80.25,75.42,77.75,20266813
108,2020-11-06,AMZN,3311.37,3322.0,3232.0,3304.64,4647330
109,2020-11-06,GOOGL,1759.73,1768.495,1736.68,1751.34,1431084
110,2020-11-06,FB,293.41,294.6,288.06,293.95,13890974
111,2020-11-06,PFE,36.008,36.325,35.702,35.998000000000005,22894097
112,2020-11-06,BNTX,92.0,92.2,90.33,92.0,861330
113,2020-11-06,MRNA,72.45,74.16,70.87,71.42,5841047
114,2020-11-05,AMZN,3322.0,3366.8,3288.88,3319.97,5789285
115,2020-11-05,GOOGL,1762.5,1791.818,1741.03,1770.45,1987907
116,2020-11-05,FB,294.68,297.38,288.95,291.8965,23823633
117,2020-11-05,PFE,35.998000000000005,36.899,35.998000000000005,36.849000000000004,32538975
118,2020-11-05,BNTX,92.0,92.84,89.67,91.33,1459849
119,2020-11-05,MRNA,71.48,71.59,70.16,71.09,4449850
120,2020-11-04,AMZN,3241.16,3244.85,3139.73,3159.99,6839041
